MobileMedia2,MediaSelection,Photo,Music,Video,MusicPlayer,MediaManagement,Favourites,SetFavourites,ViewFavourites,CopyMedia,SMSTransfer,ReceivePhoto,SendPhoto,ScreenSize,Screen1,Screen2,Screen3,Speakerphone,Calendar,Radio,CallManager,TVDigital,OS,Androide,WindowsMobile,Symbia,iOS,TouchScreen,Connectivity,Bluetooth,WiFi,Gmail,GoogleMaps,Youtube,GPS,ResolutionCamera,Resolution3MP,Resolution8MP,Language,Portuguese,English,Spanish,Cost,Cache
True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,5086
True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,2487
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,3479
True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,7204
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,7561
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,133
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,7023
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,3258
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,37
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,5111
