MobileMedia2,MediaSelection,Photo,Music,Video,MusicPlayer,MediaManagement,Favourites,SetFavourites,ViewFavourites,CopyMedia,SMSTransfer,ReceivePhoto,SendPhoto,ScreenSize,Screen1,Screen2,Screen3,Speakerphone,Calendar,Radio,CallManager,TVDigital,OS,Androide,WindowsMobile,Symbia,iOS,TouchScreen,Connectivity,Bluetooth,WiFi,Gmail,GoogleMaps,Youtube,GPS,ResolutionCamera,Resolution3MP,Resolution8MP,Language,Portuguese,English,Spanish,Cost,Cache
True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,7099
True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,6866
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,5875
True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,2036
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,475
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,7378
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,550
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,3132
True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,4189
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,100,1293
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,100,5677
True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,1322
True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,7794
True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,3930
True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,3139
True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,6412
True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,100,7024
True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,100,4324
True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,100,4649
True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,100,2296
True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,100,2755
True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,748
True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,967
True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,7743
True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,4011
True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,5193
True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,1965
True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,3573
True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,2474
True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,138
True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,4916
True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,100,4290
True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,4564
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,571
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,1415
True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,1710
True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,272
True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,651
True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,100,5157
True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,100,6800
True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,100,6341
True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,100,6453
True,True,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,100,3778
True,True,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,100,902
True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,100,1970
True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,100,5556
True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,100,3007
